ProductID,SKU,ProductName,Category,PrimaryRawMaterial,MaterialIndexWeight,BaseUnitCost_USD,Currency,StandardLeadTimeDays,ReorderPoint,SupplierID
PRD-00027,SKU-SYN-12341,Heavy Engine Castings Grade-B,Heavy Engine Castings,Steel,0.5,2935.65,USD,36,,SUP-00354
PRD-00028,SKU-SYN-26465,Industrial Resins & Plastics Grade-C,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2750.8,USD,46,100,SUP-00633
PRD-00029,SKU-SYN-36310,Corrugated Packaging Grade-D,Corrugated Packaging,Packaging,0.2,1672.41,USD,59,100,SUP-00028
PRD-00030,SKU-SYN-38663,printed circuit boards grade-30,Printed Circuit Boards,Copper,0.35,$1551.95,USD,23,250,SUP-00568
PRD-00031,SKU-SYN-13467,Synthetic Lubricants Grade-F,Synthetic Lubricants,Crude Oil / Polymers,0.8,2137.76,USD,61,500,SUP-00400
PRD-00032,SKU-SYN-27915,Copper Conductors & Wiring Grade-G,,Copper,0.65,1857.84,USD,74,250,SUP-00896
PRD-00033,SKU-SYN-81475,Synthetic Lubricants Grade-H,Synthetic Lubricants,Crude Oil / Polymers,0.8,2903.63,USD,7,500,SUP-00437
PRD-00034,SKU-SYN-41334,Corrugated Packaging Grade-I,Corrugated Packaging,Packaging,0.2,2197.02,USD,46,250,SUP-00421
PRD-00035,SKU-SYN-99300,Corrugated Packaging Grade-J,Corrugated Packaging,Packaging,0.2,2574.33,USD,21,100,SUP-00736
PRD-00036,sku_36,Synthetic Lubricants Grade-K,Synthetic Lubricants,Crude Oil / Polymers,0.8,$1499.73,USD,-10,100,SUP-00833
PRD-00037,SKU-SYN-87106,Printed Circuit Boards Grade-L,Printed Circuit Boards,Copper,0.35,1851.76,USD,46,500 units,SUP-00360
PRD-00038,SKU-SYN-68459,Printed Circuit Boards Grade-M,Printed Circuit Boards,Copper,0.35,1986.48,USD,9,500 units,SUP-00813
PRD-00039,SKU-SYN-76169,Copper Conductors & Wiring Grade-N,Copper Conductors & Wiring,Copper,0.65,2795.89,USD,81,500,SUP-00341
PRD-00040,SKU-SYN-42330,industrial resins & plastics grade-40,,Crude Oil / Polymers,0.7,161.68,USD,33,,SUP-99999
PRD-00041,SKU-SYN-24555,Corrugated Packaging Grade-P,Corrugated Packaging,Packaging,0.2,286.13,USD,40,500,SUP-00460
PRD-00042,SKU-SYN-51393,Printed Circuit Boards Grade-Q,Printed Circuit Boards,Copper,0.35,$1274.98,USD,67,,SUP-00789
PRD-00043,SKU-SYN-56661,Printed Circuit Boards Grade-R,Printed Circuit Boards,Copper,0.35,324.5,USD,28,100,SUP-00964
PRD-00044,SKU-SYN-19027,Industrial Resins & Plastics Grade-S,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,1421.74,USD,42,250,SUP-00378
PRD-00045,SKU-SYN-47430,Printed Circuit Boards Grade-T,Printed Circuit Boards,Copper,0.35,395.7,USD,55,250,SUP-00758
PRD-00046,SKU-SYN-75772,Corrugated Packaging Grade-U,Corrugated Packaging,Packaging,0.2,76.15,USD,85,,SUP-00827
PRD-00047,SKU-SYN-91506,Copper Conductors & Wiring Grade-V,Copper Conductors & Wiring,Copper,0.65,563.25,USD,45,100,SUP-00075
PRD-00048,sku_48,Synthetic Lubricants Grade-W,,Crude Oil / Polymers,0.8,$3093.1,USD,25,250,SUP-00379
PRD-00049,SKU-SYN-20929,Synthetic Lubricants Grade-X,Synthetic Lubricants,Crude Oil / Polymers,0.8,1545.29,USD,66,,SUP-00609
PRD-00050,SKU-SYN-63542,corrugated packaging grade-50,Corrugated Packaging,Packaging,0.2,-1807.84,USD,29,500 units,SUP-00352
PRD-00051,SKU-SYN-14262,Synthetic Lubricants Grade-Z,Synthetic Lubricants,Crude Oil / Polymers,0.8,389.98,USD,34,250,SUP-00058
PRD-00052,SKU-SYN-68346,Synthetic Lubricants Grade-A,Synthetic Lubricants,Crude Oil / Polymers,0.8,924.8,USD,62,250,SUP-00647
PRD-00053,SKU-SYN-79270,Industrial Resins & Plastics Grade-B,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2450.71,USD,13,500,SUP-00269
PRD-00054,SKU-SYN-63766,Industrial Resins & Plastics Grade-C,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,$2385.17,USD,-10,500 units,SUP-00303
PRD-00055,SKU-SYN-61562,Synthetic Lubricants Grade-D,Synthetic Lubricants,Crude Oil / Polymers,0.8,1296.71,USD,52,100,SUP-00677
PRD-00056,SKU-SYN-88321,Printed Circuit Boards Grade-E,,Copper,0.35,579.58,USD,31,500 units,SUP-00199
PRD-00057,SKU-SYN-96080,Copper Conductors & Wiring Grade-F,Copper Conductors & Wiring,Copper,0.65,1149.65,USD,74,250,SUP-00999
PRD-00058,SKU-SYN-84764,Corrugated Packaging Grade-G,Corrugated Packaging,Packaging,0.2,2495.71,USD,53,,SUP-00398
PRD-00059,SKU-SYN-64656,Synthetic Lubricants Grade-H,Synthetic Lubricants,Crude Oil / Polymers,0.8,730.4,USD,60,500,SUP-00793
PRD-00060,sku_60,synthetic lubricants grade-60,Synthetic Lubricants,Crude Oil / Polymers,0.8,$2582.14,USD,79,100,SUP-99999
PRD-00061,SKU-SYN-73242,Copper Conductors & Wiring Grade-J,Copper Conductors & Wiring,Copper,0.65,968.47,USD,65,500,SUP-00927
PRD-00062,SKU-SYN-25295,Heavy Engine Castings Grade-K,Heavy Engine Castings,Steel,0.5,717.36,USD,8,,SUP-00119
PRD-00063,SKU-SYN-97497,Heavy Engine Castings Grade-L,Heavy Engine Castings,Steel,0.5,2484.14,USD,67,100,SUP-00844
PRD-00064,SKU-SYN-27917,Synthetic Lubricants Grade-M,,Crude Oil / Polymers,0.8,485.09,USD,64,250,SUP-00780
PRD-00065,SKU-SYN-68366,Printed Circuit Boards Grade-N,Printed Circuit Boards,Copper,0.35,2334.75,USD,9,500,SUP-00983
PRD-00066,SKU-SYN-94775,Corrugated Packaging Grade-O,Corrugated Packaging,Packaging,0.2,$1633.21,USD,50,500,SUP-00050
PRD-00067,SKU-SYN-89321,Synthetic Lubricants Grade-P,Synthetic Lubricants,Crude Oil / Polymers,0.8,3131.4,USD,50,,SUP-00629
PRD-00068,SKU-SYN-11923,Industrial Resins & Plastics Grade-Q,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2407.23,USD,49,250,SUP-00927
PRD-00069,SKU-SYN-54829,Heavy Engine Castings Grade-R,Heavy Engine Castings,Steel,0.5,880.97,USD,80,500,SUP-00312
PRD-00070,SKU-SYN-32355,industrial resins & plastics grade-70,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,385.85,USD,47,250,SUP-00191
PRD-00071,SKU-SYN-65407,Heavy Engine Castings Grade-T,Heavy Engine Castings,Steel,0.5,3077.38,USD,23,100,SUP-00345
PRD-00072,sku_72,Corrugated Packaging Grade-U,,Packaging,0.2,$396.2,USD,-10,500 units,SUP-00369
PRD-00073,SKU-SYN-58724,Industrial Resins & Plastics Grade-V,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2235.11,USD,26,100,SUP-00904
PRD-00074,SKU-SYN-48816,Corrugated Packaging Grade-W,Corrugated Packaging,Packaging,0.2,1152.31,USD,55,250,SUP-00011
PRD-00075,SKU-SYN-81353,Industrial Resins & Plastics Grade-X,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,-103.38,USD,42,100,SUP-00150
PRD-00076,SKU-SYN-73582,Synthetic Lubricants Grade-Y,Synthetic Lubricants,Crude Oil / Polymers,0.8,710.21,USD,62,250,SUP-00815
PRD-00077,SKU-SYN-53005,Synthetic Lubricants Grade-Z,Synthetic Lubricants,Crude Oil / Polymers,0.8,1513.03,USD,20,500,SUP-00385
PRD-00078,SKU-SYN-61818,Industrial Resins & Plastics Grade-A,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,$804.91,USD,72,500 units,SUP-00853
PRD-00079,SKU-SYN-38367,Industrial Resins & Plastics Grade-B,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2588.64,USD,6,250,SUP-00140
PRD-00080,SKU-SYN-10051,heavy engine castings grade-80,,Steel,0.5,1596.6,USD,38,500 units,SUP-99999
PRD-00081,SKU-SYN-16341,Copper Conductors & Wiring Grade-D,Copper Conductors & Wiring,Copper,0.65,1981.56,USD,63,,SUP-00193
PRD-00082,SKU-SYN-23010,Heavy Engine Castings Grade-E,Heavy Engine Castings,Steel,0.5,1803.86,USD,8,500 units,SUP-00627
PRD-00083,SKU-SYN-43108,Copper Conductors & Wiring Grade-F,Copper Conductors & Wiring,Copper,0.65,1428.64,USD,45,500 units,SUP-00157
PRD-00084,sku_84,Corrugated Packaging Grade-G,Corrugated Packaging,Packaging,0.2,$1102.78,USD,56,500,SUP-00073
PRD-00085,SKU-SYN-92347,Copper Conductors & Wiring Grade-H,Copper Conductors & Wiring,Copper,0.65,698.83,USD,22,,SUP-00542
PRD-00086,SKU-SYN-33500,Synthetic Lubricants Grade-I,Synthetic Lubricants,Crude Oil / Polymers,0.8,2539.17,USD,73,,SUP-00013
PRD-00087,SKU-SYN-95955,Synthetic Lubricants Grade-J,Synthetic Lubricants,Crude Oil / Polymers,0.8,857.65,USD,68,250,SUP-00367
PRD-00088,SKU-SYN-65244,Corrugated Packaging Grade-K,,Packaging,0.2,408.09,USD,34,500,SUP-00790
PRD-00089,SKU-SYN-37584,Corrugated Packaging Grade-L,Corrugated Packaging,Packaging,0.2,2918.11,USD,52,100,SUP-00089
PRD-00090,SKU-SYN-74511,synthetic lubricants grade-90,Synthetic Lubricants,Crude Oil / Polymers,0.8,$2257.36,USD,-10,500 units,SUP-00150
PRD-00091,SKU-SYN-93194,Industrial Resins & Plastics Grade-N,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,364.45,USD,62,250,SUP-00357
PRD-00092,SKU-SYN-56465,Industrial Resins & Plastics Grade-O,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,842.44,USD,87,,SUP-00944
PRD-00093,SKU-SYN-89664,Printed Circuit Boards Grade-P,Printed Circuit Boards,Copper,0.35,1924.01,USD,48,500,SUP-00554
PRD-00094,SKU-SYN-69840,Printed Circuit Boards Grade-Q,Printed Circuit Boards,Copper,0.35,1927.39,USD,34,100,SUP-00963
PRD-00095,SKU-SYN-19668,Heavy Engine Castings Grade-R,Heavy Engine Castings,Steel,0.5,2758.55,USD,90,500 units,SUP-00843
PRD-00096,sku_96,Corrugated Packaging Grade-S,,Packaging,0.2,$859.94,USD,39,250,SUP-00335
PRD-00097,SKU-SYN-56568,Corrugated Packaging Grade-T,Corrugated Packaging,Packaging,0.2,1761.72,USD,50,250,SUP-00663
PRD-00098,SKU-SYN-69863,Heavy Engine Castings Grade-U,Heavy Engine Castings,Steel,0.5,2676.23,USD,9,500 units,SUP-00084
PRD-00099,SKU-SYN-78349,Corrugated Packaging Grade-V,Corrugated Packaging,Packaging,0.2,98.58,USD,12,500 units,SUP-00179
PRD-00100,SKU-SYN-14734,printed circuit boards grade-100,Printed Circuit Boards,Copper,0.35,-1035.07,USD,37,,SUP-99999
PRD-00101,SKU-SYN-56324,Industrial Resins & Plastics Grade-X,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,1797.93,USD,39,500 units,SUP-00863
PRD-00102,SKU-SYN-38481,Printed Circuit Boards Grade-Y,Printed Circuit Boards,Copper,0.35,$1909.1,USD,69,,SUP-00805
PRD-00103,SKU-SYN-68943,Industrial Resins & Plastics Grade-Z,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,1226.34,USD,8,250,SUP-00377
PRD-00104,SKU-SYN-22928,Copper Conductors & Wiring Grade-A,,Copper,0.65,2139.76,USD,55,500,SUP-00672
PRD-00105,SKU-SYN-58537,Synthetic Lubricants Grade-B,Synthetic Lubricants,Crude Oil / Polymers,0.8,636.98,USD,33,,SUP-00447
PRD-00106,SKU-SYN-46821,Heavy Engine Castings Grade-C,Heavy Engine Castings,Steel,0.5,8.21,USD,11,500 units,SUP-00982
PRD-00107,SKU-SYN-41777,Heavy Engine Castings Grade-D,Heavy Engine Castings,Steel,0.5,395.7,USD,47,100,SUP-00001
PRD-00108,sku_108,Synthetic Lubricants Grade-E,Synthetic Lubricants,Crude Oil / Polymers,0.8,$997.29,USD,-10,500 units,SUP-00396
PRD-00109,SKU-SYN-91031,Industrial Resins & Plastics Grade-F,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,1818.84,USD,5,500,SUP-00344
PRD-00110,SKU-SYN-98898,printed circuit boards grade-110,Printed Circuit Boards,Copper,0.35,2340.81,USD,51,,SUP-00759
PRD-00111,SKU-SYN-65211,Printed Circuit Boards Grade-H,Printed Circuit Boards,Copper,0.35,1211.71,USD,47,250,SUP-00210
PRD-00112,SKU-SYN-94393,Copper Conductors & Wiring Grade-I,,Copper,0.65,2795.31,USD,39,100,SUP-00068
PRD-00113,SKU-SYN-80784,Corrugated Packaging Grade-J,Corrugated Packaging,Packaging,0.2,388.3,USD,13,250,SUP-00155
PRD-00114,SKU-SYN-69906,Industrial Resins & Plastics Grade-K,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,$2535.79,USD,77,500,SUP-00619
PRD-00115,SKU-SYN-85337,Industrial Resins & Plastics Grade-L,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,1613.75,USD,16,500 units,SUP-00870
PRD-00116,SKU-SYN-94747,Copper Conductors & Wiring Grade-M,Copper Conductors & Wiring,Copper,0.65,2975.47,USD,69,500 units,SUP-00118
PRD-00117,SKU-SYN-93340,Printed Circuit Boards Grade-N,Printed Circuit Boards,Copper,0.35,2529.4,USD,69,250,SUP-00465
PRD-00118,SKU-SYN-81995,Synthetic Lubricants Grade-O,Synthetic Lubricants,Crude Oil / Polymers,0.8,1358.55,USD,35,,SUP-00328
PRD-00119,SKU-SYN-23254,Industrial Resins & Plastics Grade-P,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2741.47,USD,52,500,SUP-00232
PRD-00120,sku_120,synthetic lubricants grade-120,,Crude Oil / Polymers,0.8,$1285.98,USD,42,100,SUP-99999
PRD-00121,SKU-SYN-72013,Heavy Engine Castings Grade-R,Heavy Engine Castings,Steel,0.5,593.04,USD,26,100,SUP-00757
PRD-00122,SKU-SYN-39672,Corrugated Packaging Grade-S,Corrugated Packaging,Packaging,0.2,3040.64,USD,34,250,SUP-00884
PRD-00123,SKU-SYN-90059,Corrugated Packaging Grade-T,Corrugated Packaging,Packaging,0.2,510.54,USD,89,250,SUP-00822
PRD-00124,SKU-SYN-87196,Copper Conductors & Wiring Grade-U,Copper Conductors & Wiring,Copper,0.65,426.01,USD,8,500 units,SUP-00073
PRD-00125,SKU-SYN-70946,Industrial Resins & Plastics Grade-V,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,-2337.9,USD,77,250,SUP-00178
PRD-00126,SKU-SYN-65912,Industrial Resins & Plastics Grade-W,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,$1648.88,USD,-10,,SUP-00451
PRD-00127,SKU-SYN-28503,Industrial Resins & Plastics Grade-X,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2896.76,USD,16,,SUP-00792
PRD-00128,SKU-SYN-38079,Industrial Resins & Plastics Grade-Y,,Crude Oil / Polymers,0.7,485.86,USD,39,250,SUP-00532
PRD-00129,SKU-SYN-34541,Industrial Resins & Plastics Grade-Z,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,358.97,USD,79,100,SUP-00496
PRD-00130,SKU-SYN-33036,printed circuit boards grade-130,Printed Circuit Boards,Copper,0.35,195.49,USD,43,,SUP-00198
PRD-00131,SKU-SYN-34779,Industrial Resins & Plastics Grade-B,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,3137.16,USD,63,,SUP-00027
PRD-00132,sku_132,Synthetic Lubricants Grade-C,Synthetic Lubricants,Crude Oil / Polymers,0.8,$2896.06,USD,57,100,SUP-00315
PRD-00133,SKU-SYN-11177,Printed Circuit Boards Grade-D,Printed Circuit Boards,Copper,0.35,1272.92,USD,59,500 units,SUP-00530
PRD-00134,SKU-SYN-48963,Industrial Resins & Plastics Grade-E,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2349.95,USD,90,100,SUP-00990
PRD-00135,SKU-SYN-64219,Industrial Resins & Plastics Grade-F,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2454.4,USD,14,,SUP-00084
PRD-00136,SKU-SYN-88478,Heavy Engine Castings Grade-G,,Steel,0.5,1555.83,USD,78,,SUP-00084
PRD-00137,SKU-SYN-57295,Copper Conductors & Wiring Grade-H,Copper Conductors & Wiring,Copper,0.65,149.86,USD,81,,SUP-00402
PRD-00138,SKU-SYN-47163,Synthetic Lubricants Grade-I,Synthetic Lubricants,Crude Oil / Polymers,0.8,$1677.1,USD,41,100,SUP-00859
PRD-00139,SKU-SYN-22230,Heavy Engine Castings Grade-J,Heavy Engine Castings,Steel,0.5,2475.31,USD,5,500 units,SUP-00698
PRD-00140,SKU-SYN-39968,synthetic lubricants grade-140,Synthetic Lubricants,Crude Oil / Polymers,0.8,2537.87,USD,62,,SUP-99999
PRD-00141,SKU-SYN-90358,Printed Circuit Boards Grade-L,Printed Circuit Boards,Copper,0.35,1011.15,USD,12,500 units,SUP-00880
PRD-00142,SKU-SYN-25886,Copper Conductors & Wiring Grade-M,Copper Conductors & Wiring,Copper,0.65,2905.7,USD,75,500,SUP-00779
PRD-00143,SKU-SYN-19402,Printed Circuit Boards Grade-N,Printed Circuit Boards,Copper,0.35,2109.25,USD,31,250,SUP-00434
PRD-00144,sku_144,Corrugated Packaging Grade-O,,Packaging,0.2,$1191.62,USD,-10,,SUP-00607
PRD-00145,SKU-SYN-57774,Printed Circuit Boards Grade-P,Printed Circuit Boards,Copper,0.35,2338.88,USD,69,500,SUP-00358
PRD-00146,SKU-SYN-49494,Printed Circuit Boards Grade-Q,Printed Circuit Boards,Copper,0.35,1520.57,USD,24,500 units,SUP-00760
PRD-00147,SKU-SYN-42068,Printed Circuit Boards Grade-R,Printed Circuit Boards,Copper,0.35,3129.45,USD,61,,SUP-00863
PRD-00148,SKU-SYN-37432,Printed Circuit Boards Grade-S,Printed Circuit Boards,Copper,0.35,405.36,USD,44,,SUP-00936
PRD-00149,SKU-SYN-52228,Copper Conductors & Wiring Grade-T,Copper Conductors & Wiring,Copper,0.65,2183.39,USD,69,500 units,SUP-00581
PRD-00150,SKU-SYN-60424,copper conductors & wiring grade-150,Copper Conductors & Wiring,Copper,0.65,$925.17,USD,7,500,SUP-00426
PRD-00151,SKU-SYN-27552,Synthetic Lubricants Grade-V,Synthetic Lubricants,Crude Oil / Polymers,0.8,400.82,USD,27,500,SUP-00294
PRD-00152,SKU-SYN-41554,Heavy Engine Castings Grade-W,,Steel,0.5,1107.38,USD,16,250,SUP-00478
PRD-00153,SKU-SYN-88330,Printed Circuit Boards Grade-X,Printed Circuit Boards,Copper,0.35,394.86,USD,56,500,SUP-00710
PRD-00154,SKU-SYN-96009,Copper Conductors & Wiring Grade-Y,Copper Conductors & Wiring,Copper,0.65,604.18,USD,90,500,SUP-00619
PRD-00155,SKU-SYN-23945,Printed Circuit Boards Grade-Z,Printed Circuit Boards,Copper,0.35,488.56,USD,48,500,SUP-00434
PRD-00156,sku_156,Synthetic Lubricants Grade-A,Synthetic Lubricants,Crude Oil / Polymers,0.8,$1562.53,USD,59,,SUP-00819
PRD-00157,SKU-SYN-58961,Copper Conductors & Wiring Grade-B,Copper Conductors & Wiring,Copper,0.65,664.14,USD,73,,SUP-00984
PRD-00158,SKU-SYN-14640,Printed Circuit Boards Grade-C,Printed Circuit Boards,Copper,0.35,997.14,USD,13,100,SUP-00238
PRD-00159,SKU-SYN-38050,Printed Circuit Boards Grade-D,Printed Circuit Boards,Copper,0.35,1287.9,USD,35,250,SUP-00760
PRD-00160,SKU-SYN-64008,synthetic lubricants grade-160,,Crude Oil / Polymers,0.8,1512.12,USD,34,100,SUP-99999
PRD-00161,SKU-SYN-98185,Corrugated Packaging Grade-F,Corrugated Packaging,Packaging,0.2,458.85,USD,20,100,SUP-00069
PRD-00162,SKU-SYN-84475,Heavy Engine Castings Grade-G,Heavy Engine Castings,Steel,0.5,$557.42,USD,-10,100,SUP-00429
PRD-00163,SKU-SYN-13235,Synthetic Lubricants Grade-H,Synthetic Lubricants,Crude Oil / Polymers,0.8,1883.09,USD,16,,SUP-00236
PRD-00164,SKU-SYN-55702,Printed Circuit Boards Grade-I,Printed Circuit Boards,Copper,0.35,1402.3,USD,73,100,SUP-00237
PRD-00165,SKU-SYN-45019,Industrial Resins & Plastics Grade-J,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2559.36,USD,57,250,SUP-00521
PRD-00166,SKU-SYN-68082,Corrugated Packaging Grade-K,Corrugated Packaging,Packaging,0.2,1633.53,USD,41,,SUP-00852
PRD-00167,SKU-SYN-30599,Heavy Engine Castings Grade-L,Heavy Engine Castings,Steel,0.5,2547.85,USD,13,500,SUP-00580
PRD-00168,sku_168,Synthetic Lubricants Grade-M,,Crude Oil / Polymers,0.8,$1479.61,USD,21,100,SUP-00289
PRD-00169,SKU-SYN-73018,Corrugated Packaging Grade-N,Corrugated Packaging,Packaging,0.2,521.56,USD,29,100,SUP-00124
PRD-00170,SKU-SYN-48010,industrial resins & plastics grade-170,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,512.33,USD,41,500 units,SUP-00167
PRD-00171,SKU-SYN-28557,Printed Circuit Boards Grade-P,Printed Circuit Boards,Copper,0.35,560.98,USD,57,250,SUP-00539
PRD-00172,SKU-SYN-54708,Industrial Resins & Plastics Grade-Q,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,2846.64,USD,62,100,SUP-00827
PRD-00173,SKU-SYN-71387,Corrugated Packaging Grade-R,Corrugated Packaging,Packaging,0.2,674.97,USD,59,500,SUP-00889
PRD-00174,SKU-SYN-38152,Printed Circuit Boards Grade-S,Printed Circuit Boards,Copper,0.35,$820.52,USD,57,100,SUP-00121
PRD-00175,SKU-SYN-97697,Printed Circuit Boards Grade-T,Printed Circuit Boards,Copper,0.35,-1601.39,USD,18,100,SUP-00100
PRD-00176,SKU-SYN-64276,Heavy Engine Castings Grade-U,,Steel,0.5,2270.49,USD,31,100,SUP-00854
PRD-00177,SKU-SYN-31610,Synthetic Lubricants Grade-V,Synthetic Lubricants,Crude Oil / Polymers,0.8,509.83,USD,71,,SUP-00495
PRD-00178,SKU-SYN-18640,Printed Circuit Boards Grade-W,Printed Circuit Boards,Copper,0.35,2046.82,USD,48,,SUP-00108
PRD-00179,SKU-SYN-24306,Corrugated Packaging Grade-X,Corrugated Packaging,Packaging,0.2,937.71,USD,58,250,SUP-00199
PRD-00180,sku_180,printed circuit boards grade-180,Printed Circuit Boards,Copper,0.35,$1994.8,USD,-10,500 units,SUP-99999
PRD-00181,SKU-SYN-86753,Corrugated Packaging Grade-Z,Corrugated Packaging,Packaging,0.2,2454.37,USD,12,500,SUP-00765
PRD-00182,SKU-SYN-55428,Copper Conductors & Wiring Grade-A,Copper Conductors & Wiring,Copper,0.65,2242.05,USD,17,,SUP-00965
PRD-00183,SKU-SYN-34326,Synthetic Lubricants Grade-B,Synthetic Lubricants,Crude Oil / Polymers,0.8,2449.61,USD,36,500 units,SUP-00104
PRD-00184,SKU-SYN-93112,Synthetic Lubricants Grade-C,,Crude Oil / Polymers,0.8,3171.15,USD,15,100,SUP-00861
PRD-00185,SKU-SYN-19227,Industrial Resins & Plastics Grade-D,Industrial Resins & Plastics,Crude Oil / Polymers,0.7,1810.25,USD,42,,SUP-00904
